sha,issues,change_type,name,additions,removals,context,message
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,examples/src/main/java/org/apache/mahout/classifier/bayes/WikipediaDatasetCreatorDriver.java,4,9,24,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,examples/src/main/java/org/apache/mahout/classifier/bayes/WikipediaXmlSplitter.java,6,10,26,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,examples/src/main/java/org/apache/mahout/clustering/dirichlet/DisplayASNOutputState.java,5,11,20,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,examples/src/main/java/org/apache/mahout/clustering/dirichlet/DisplayOutputState.java,5,11,20,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,examples/src/test/java/org/apache/mahout/ga/watchmaker/cd/FileInfosDatasetTest.java,7,13,26,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,utils/src/main/java/org/apache/mahout/utils/clustering/ClusterDumper.java,6,7,22,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,utils/src/main/java/org/apache/mahout/utils/vectors/arff/ARFFVectorIterable.java,33,30,72,4
500d981c93dddbb5b9e28cdce02e47c120372273,1059,M,math/src/test/java/org/apache/mahout/math/FileBasedSparseBinaryMatrixTest.java,1,1,6,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,core/pom.xml,4,4,17,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,examples/pom.xml,5,5,17,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,maven/pom.xml,5,5,16,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,pom.xml,6,5,16,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,taste-web/pom.xml,5,5,18,4
9d2b6511351e6e7c2b94703269a0638d03905ab6,0,M,utils/pom.xml,5,5,17,4
f4d8201a5f6090d5cb76bd3fddc1ee4f325a911c,1142,M,core/src/main/java/org/apache/mahout/math/hadoop/DistributedRowMatrix.java,5,1,7,4
6c86257f784d8e142039d5d8ff3da260c739b662,857,M,core/src/main/java/org/apache/mahout/classifier/ClassifierResult.java,16,1,12,4
