metadata,unique_words,total_words
1,7,9
2,23,32
3,34,44
4,82,384
5,361,1942
6,21,24
7,12,15
8,25,31
9,22,28
10,18,18
11,65,90
12,52,82
13,21,26
14,32,48
15,14,20
16,26,32
17,28,32
18,8,9
19,22,32
20,23,26
21,50,64
22,52,84
23,25,32
24,93,155
25,32,45
26,29,34
28,24,30
29,7,9
30,46,60
31,21,27
32,79,204
33,16,19
34,12,19
35,33,36
37,114,294
38,52,86
39,83,228
41,22,34
42,59,96
43,32,35
44,73,117
45,42,61
46,43,70
47,20,26
48,50,211
49,73,137
50,7,12
51,6,11
52,80,132
53,29,36
54,86,282
55,6,10
57,51,91
58,33,38
59,40,79
