metadata,unique_words,total_words
.gitattributes,24,68
.gitignore,15,28
CHANGES.txt,1926,10289
LICENSE.txt,345,734
NOTICE.txt,12,18
README.txt,70,132
README_packaging.txt,84,179
bin/README.txt,21,23
bin/zkCleanup.sh,93,168
bin/zkCli.cmd,62,102
bin/zkCli.sh,86,128
bin/zkEnv.cmd,84,164
bin/zkEnv.sh,112,261
bin/zkServer-initialize.sh,150,329
bin/zkServer.cmd,65,106
bin/zkServer.sh,213,604
build.xml,654,8159
conf/configuration.xsl,23,52
conf/log4j.properties,78,273
conf/zoo_sample.cfg,60,80
docs/bookkeeperConfig.html,292,1053
docs/bookkeeperOverview.html,485,1611
docs/bookkeeperProgrammer.html,307,2092
docs/bookkeeperStarted.html,310,1149
docs/bookkeeperStream.html,253,1151
docs/broken-links.xml,2,4
docs/index.html,272,1013
docs/javaExample.html,446,2268
docs/linkmap.html,185,918
docs/recipes.html,582,2343
docs/releasenotes.html,1304,9506
docs/skin/CommonMessages_de.xml,60,91
docs/skin/CommonMessages_en_US.xml,52,88
docs/skin/CommonMessages_es.xml,58,89
docs/skin/CommonMessages_fr.xml,58,90
docs/skin/basic.css,96,253
docs/skin/breadcrumbs-optimized.js,84,253
docs/skin/breadcrumbs.js,158,488
docs/skin/fontsize.js,90,263
docs/skin/getBlank.js,68,139
docs/skin/getMenu.js,75,140
docs/skin/images/README.txt,5,5
docs/skin/menu.js,73,134
docs/skin/note.txt,75,105
docs/skin/print.css,73,100
docs/skin/profile.css,81,359
docs/skin/prototype.js,342,2539
docs/skin/screen.css,185,1063
docs/zookeeperAdmin.html,1137,5159
docs/zookeeperHierarchicalQuorums.html,205,746
docs/zookeeperInternals.html,630,2089
docs/zookeeperJMX.html,351,1248
docs/zookeeperObservers.html,345,1035
docs/zookeeperOtherInfo.html,180,692
docs/zookeeperOtherInfo.pdf,84,198
docs/zookeeperOver.html,583,1852
docs/zookeeperProgrammers.html,1239,5556
docs/zookeeperQuotas.html,230,849
docs/zookeeperStarted.html,473,1743
docs/zookeeperTutorial.html,407,2031
ivy.xml,112,354
ivysettings.xml,78,181
src/c/ChangeLog,217,371
src/c/Cli.vcproj,143,480
src/c/Cli.vcxproj,94,695
src/c/Cli.vcxproj.filters,60,95
src/c/INSTALL,279,676
src/c/LICENSE,345,734
src/c/Makefile.am,127,454
src/c/NOTICE.txt,101,134
src/c/README,229,458
src/c/acinclude.m4,192,916
src/c/aminclude.am,99,355
src/c/c-doc.Doxyfile,821,3951
src/c/configure.ac,161,375
src/c/include/proto.h,68,132
src/c/include/recordio.h,75,216
src/c/include/winconfig.h,128,405
src/c/include/winstdint.h,154,685
src/c/include/zookeeper.h,686,8009
src/c/include/zookeeper_log.h,68,178
src/c/include/zookeeper_version.h,52,86
src/c/src/addrvec.c,91,369
src/c/src/addrvec.h,140,322
src/c/src/cli.c,308,1732
src/c/src/hashtable/LICENSE.txt,83,109
src/c/src/hashtable/hashtable.c,193,509
src/c/src/hashtable/hashtable.h,217,521
src/c/src/hashtable/hashtable_itr.c,139,346
src/c/src/hashtable/hashtable_itr.h,135,276
src/c/src/hashtable/hashtable_private.h,108,176
src/c/src/load_gen.c,155,634
src/c/src/mt_adaptor.c,257,1312
src/c/src/recordio.c,96,613
src/c/src/st_adaptor.c,86,187
