metadata,total_entities
1946,1
1945,1
1253,1
1799,1
1798,1
716,1
1791,1
1797,1
1796,1
1795,1
1490,1
1493,1
1494,1
1495,1
1496,1
1497,1
1499,1
1700,1
1701,1
1702,1
1706,1
1062,1
1667,1
1666,1
1663,2
1662,1
1125,1
1089,1
271,1
1408,1
1019,1
1403,1
1400,2
1406,1
1236,1
1339,1
1338,1
1232,1
1335,1
442,1
1337,1
1336,1
1238,2
1239,1
1333,1
107,2
1849,1
1843,1
1459,1
1241,1
1536,1
1535,1
642,1
1533,1
1247,1
1246,1
1538,1
1909,1
1906,1
1904,1
1900,1
1901,1
1622,1
1992,1
1627,1
1625,1
1624,1
1629,1
1628,1
556,1
1050,1
1057,1
1191,1
1190,1
1193,1
1192,2
1696,1
1697,1
1695,1
1759,1
1758,1
1756,1
1755,1
1754,1
1753,1
1751,1
1699,1
1176,1
1175,1
1174,1
1170,1
1270,1
1271,1
1273,1
1179,1
1277,1
1888,1
1887,1
1883,1
1282,1
1471,1
1474,1
1573,1
1572,1
1478,1
1576,1
1575,1
1305,2
1307,1
1830,1
1831,1
1836,1
1837,1
1834,1
1835,1
1839,1
1373,1
1374,1
1377,1
1379,1
1691,1
1229,1
1953,1
827,1
1750,1
1483,1
1481,1
1489,1
87,1
1713,1
1715,2
1714,1
1719,2
1718,1
1659,1
1657,1
1655,1
1632,1
1437,1
1432,1
1433,1
1430,1
1431,1
1439,1
1222,1
1221,1
1220,1
1340,1
1342,1
1343,1
1344,1
1345,1
1346,1
1877,1
1874,1
1873,1
1870,1
1878,1
973,1
1503,1
657,1
1501,1
1505,1
1509,1
1918,1
1911,1
1910,1
1913,1
1603,2
1974,1
1968,1
1969,1
1619,1
1964,1
1966,1
1615,1
1613,1
1610,1
1578,1
1048,1
1683,1
1769,1
1766,1
1269,1
1268,1
1147,1
1263,1
1262,1
1264,1
1540,1
1465,1
1466,1
1317,1
1316,1
1315,1
1311,1
1319,1
1318,1
1821,1
1388,1
1389,1
1384,1
1386,1
1387,1
1380,1
1382,1
927,1
1923,1
1926,1
1334,1
1331,1
1645,1
786,2
1646,1
1641,1
1728,1
1642,1
1725,1
1648,1
1161,1
1427,1
1583,1
1581,1
1584,1
1585,1
732,1
1212,2
1358,1
1216,1
1214,1
1353,1
1352,1
1351,1
1219,1
1357,1
1647,1
1355,1
1354,1
1861,1
1860,1
1863,1
1862,1
1864,1
1867,1
1643,1
1454,1
1451,1
1514,1
1510,1
1513,1
1844,1
1815,1
1810,1
1811,1
1812,1
877,1
1819,1
899,1
1979,1
1601,1
1975,1
1602,1
1973,1
1972,1
1606,1
1789,1
1781,1
1783,1
1786,1
1774,1
1771,1
1770,1
1773,1
1779,1
1778,1
1679,1
1670,1
1672,1
1673,1
1096,1
1560,1
1551,1
1553,1
1552,1
1557,1
1419,1
1411,2
1412,1
1413,1
1414,1
1417,1
1322,1
1323,1
1321,1
1326,1
1327,1
1324,1
1328,1
1858,1
1851,1
1852,1
1620,1
1857,1
1256,1
1252,1
1521,1
1522,1
1397,1
1395,1
1390,1
1933,1
1939,1
1938,1
1986,1
1984,1
1982,1
1981,1
1638,1
1730,1
1733,2
1732,1
1988,1
751,1
756,1
1597,2
1596,1
1591,1
1590,1
1598,1
1189,1
1184,1
1185,1
1182,1
1181,1
721,1
1744,1
1746,1
1208,1
602,1
1206,1
1201,1
1200,1
1203,1
1894,1
1895,1
1897,1
1891,1
1440,1
1292,1
1293,1
1562,1
1291,1
1564,1
1297,1
1294,2
1448,1
1163,1
1367,1
1361,2
