sha,issues,change_type,name,additions,removals,context,message
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/ref_guide_runtime.xml,1,1,6,4
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/ref_guide_slice.xml,1,1,6,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,8,34,46,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,1,1,6,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,21,19,8,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,6,1,6,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex1/Division.java,12,0,12,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex1/PhoneNumber.java,11,0,6,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex1/TestMany2ManyMapEx1.java,34,0,12,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex4/Address.java,73,0,0,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex4/Division.java,19,0,14,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex4/Office.java,94,0,0,4
6f253f050beebf194ad5b7bb2596830a152a4a57,967,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/maps/m2mmapex4/TestMany2ManyMapEx4.java,19,1,24,4
a51486c7397bc7bff2969e7adad5ab29a4eec36f,878,M,openjpa-project/src/doc/manual/jpa_overview_query.xml,22,0,6,4
6ca4748e30fdd08e28f0030d273f5f4cf0e38def,2260,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,1,6,6,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-examples/pom.xml,0,1,6,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-jdbc/pom.xml,5,12,11,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-kernel/pom.xml,5,20,33,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-lib/pom.xml,1,13,30,4
