metadata,unique_words,total_words
doclet.GenerateTocXML,51,165
net.sourceforge.jarbundler.JavaProperty,13,70
org.gjt.sp.jedit.bsh.InterpreterError,7,11
org.gjt.sp.jedit.bsh.BSHTernaryExpression,27,61
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel,87,612
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.Entry,15,54
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.ExtendedAttribute,14,24
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel.EntryCompare,55,218
org.gjt.sp.jedit.bsh.JThis,160,974
org.gjt.sp.jedit.buffer.BufferListener,77,343
installer.Progress,16,21
org.gjt.sp.jedit.bsh.TargetError,85,277
org.gjt.sp.jedit.msg.RegisterChanged,19,52
de.masters_of_disaster.ant.tasks.ar.Ar,128,620
de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,55,184
de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,26,98
org.gjt.sp.jedit.bsh.BSHPrimarySuffix,111,558
org.gjt.sp.jedit.browser.BrowserListener,18,55
QuickNotepadTextArea,10,17
org.gjt.sp.jedit.gui.ShortcutPrefixActiveEvent,42,263
org.gjt.sp.jedit.buffer.FoldHandlerProvider,26,50
org.gjt.sp.jedit.ActionSet,166,722
org.gjt.sp.jedit.TextUtilities,158,1912
org.gjt.sp.jedit.bsh.ExternalNameSpace,113,471
org.gjt.sp.jedit.gui.FilePropertiesDialog,102,897
org.gjt.sp.jedit.gui.FilePropertiesDialog.ButtonActionHandler,10,23
org.gjt.sp.jedit.gui.CloseDialog,78,349
org.gjt.sp.jedit.gui.CloseDialog.ActionHandler,44,135
org.gjt.sp.jedit.gui.CloseDialog.ListHandler,25,53
org.gjt.sp.jedit.bsh.classpath.BshClassPath,274,1507
org.gjt.sp.jedit.bsh.classpath.BshClassPath.ClassSource,5,6
org.gjt.sp.jedit.bsh.classpath.BshClassPath.JarClassSource,16,33
org.gjt.sp.jedit.bsh.classpath.BshClassPath.DirClassSource,23,77
org.gjt.sp.jedit.bsh.classpath.BshClassPath.GeneratedClassSource,6,12
org.gjt.sp.jedit.bsh.classpath.BshClassPath.UnqualifiedNameTable,16,41
org.gjt.sp.jedit.bsh.classpath.BshClassPath.AmbiguousName,6,18
org.gjt.sp.jedit.bsh.classpath.BshClassPath.MappingFeedback,19,37
org.gjt.sp.jedit.bsh.ClassGeneratorImpl,154,679
org.gjt.sp.jedit.bsh.ClassGeneratorImpl.ClassNodeFilter,26,101
org.gjt.sp.jedit.gui.EnhancedDialog,35,104
org.gjt.sp.jedit.gui.EnhancedDialog.ContainerHandler,21,86
org.gjt.sp.jedit.gui.EnhancedDialog.KeyHandler,26,60
org.gjt.sp.jedit.gui.EnhancedDialog.WindowHandler,7,10
org.gjt.sp.jedit.textarea.JEditEmbeddedTextArea,22,45
org.gjt.sp.jedit.gui.ContextAddDialog,87,445
org.gjt.sp.jedit.gui.ContextAddDialog.ActionHandler,17,36
org.gjt.sp.jedit.gui.DefaultInputHandler,106,399
org.gjt.sp.jedit.search.HyperSearchFileNode,39,140
org.gjt.sp.jedit.bsh.org.objectweb.asm.Constants,146,274
org.gjt.sp.jedit.pluginmgr.PluginDetailPanel,49,162
org.gjt.sp.jedit.bsh.BSHCastExpression,41,83
org.gjt.sp.jedit.syntax.TokenHandler,40,82
com.microstar.xml.XmlException,50,136
org.gjt.sp.jedit.bsh.BSHLiteral,32,83
installer.CBZip2OutputStream,301,1519
installer.CBZip2OutputStream.StackElem,2,2
org.gjt.sp.jedit.io.FileVFS,195,1030
org.gjt.sp.jedit.io.FileVFS.LocalFile,50,215
org.gjt.sp.jedit.browser.FileCellRenderer,80,469
org.gjt.sp.jedit.browser.FileCellRenderer.ExpansionToggleBorder,29,137
org.gjt.sp.jedit.buffer.ExplicitFoldHandler,33,118
org.gjt.sp.jedit.buffer.LineManager,73,779
org.gjt.sp.jedit.OperatingSystem,98,446
org.gjt.sp.jedit.JEditMode,39,105
org.gjt.sp.jedit.bsh.BSHFormalParameter,30,73
org.gjt.sp.jedit.options.StatusBarOptionPane,117,975
org.gjt.sp.jedit.options.StatusBarOptionPane.ActionHandler,35,192
org.gjt.sp.jedit.options.StatusBarOptionPane.ListHandler,10,15
org.gjt.sp.jedit.options.StatusBarOptionPane.WidgetSelectionDialog,64,348
org.gjt.sp.jedit.options.StatusBarOptionPane.WidgetSelectionDialog.ActionHandler,18,46
org.gjt.sp.jedit.io.VFS,356,2649
org.gjt.sp.jedit.io.VFS.DirectoryEntry,23,64
org.gjt.sp.jedit.io.VFS.DirectoryEntryCompare,31,93
org.gjt.sp.jedit.io.VFS.$1,7,9
org.gjt.sp.jedit.io.VFS.ColorEntry,3,14
org.gjt.sp.jedit.bsh.collection.CollectionManagerImpl,27,77
org.gjt.sp.jedit.bsh.ParserTreeConstants,77,104
org.gjt.sp.jedit.bsh.BSHFormalComment,7,10
org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassWriter,183,1569
org.gjt.sp.jedit.textarea.RangeMap,74,540
org.gjt.sp.jedit.gui.DockableWindow,13,21
org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor,58,269
org.gjt.sp.jedit.textarea.MouseActions,20,70
org.gjt.sp.jedit.bsh.BSHBinaryExpression,112,362
org.gjt.sp.jedit.View,474,4992
org.gjt.sp.jedit.View.split(int).$1,7,8
org.gjt.sp.jedit.View.CaretHandler,9,18
org.gjt.sp.jedit.View.FocusHandler,20,41
org.gjt.sp.jedit.View.ScrollHandler,10,20
org.gjt.sp.jedit.View.WindowHandler,31,61
org.gjt.sp.jedit.View.WindowHandler.windowActivated(WindowEvent).$1,12,39
