score,alpha,eta,num_topics
0.7046747967479674,0.1,0.1,50
0.64441056910569106,0.1,0.1,100
0.59339430894308942,0.1,0.1,150
0.48231707317073169,0.1,0.1,200
0.48617886178861791,0.1,0.1,250
0.45741869918699185,0.1,0.1,300
0.41250000000000003,0.1,0.1,350
0.41250000000000003,0.1,0.1,400
0.41168699186991869,0.1,0.1,450
0.3779471544715447,0.1,0.1,500
0.6648373983739837,0.1,0.2,50
0.63810975609756104,0.1,0.2,100
0.58394308943089435,0.1,0.2,150
0.53699186991869918,0.1,0.2,200
0.48841463414634145,0.1,0.2,250
0.47774390243902437,0.1,0.2,300
0.47500000000000003,0.1,0.2,350
0.42794715447154474,0.1,0.2,400
0.4276422764227642,0.1,0.2,450
0.42063008130081303,0.1,0.2,500
0.68282520325203266,0.1,0.3,50
0.66493902439024388,0.1,0.3,100
0.62439024390243902,0.1,0.3,150
0.57327235772357721,0.1,0.3,200
0.53617886178861796,0.1,0.3,250
0.49044715447154474,0.1,0.3,300
0.47063008130081302,0.1,0.3,350
0.42845528455284559,0.1,0.3,400
0.43231707317073176,0.1,0.3,450
0.4269308943089431,0.1,0.3,500
0.68333333333333335,0.1,0.4,50
0.63983739837398368,0.1,0.4,100
0.63069105691056915,0.1,0.4,150
0.61422764227642268,0.1,0.4,200
0.54715447154471542,0.1,0.4,250
0.50904471544715457,0.1,0.4,300
0.51615853658536592,0.1,0.4,350
0.44776422764227647,0.1,0.4,400
0.46280487804878051,0.1,0.4,450
0.4414634146341464,0.1,0.4,500
0.6914634146341464,0.1,0.5,50
0.71178861788617875,0.1,0.5,100
0.63353658536585367,0.1,0.5,150
0.61951219512195121,0.1,0.5,200
0.54766260162601632,0.1,0.5,250
0.54054878048780486,0.1,0.5,300
0.5186991869918699,0.1,0.5,350
0.48973577235772353,0.1,0.5,400
0.46839430894308942,0.1,0.5,450
0.45365853658536587,0.1,0.5,500
0.68536585365853664,0.1,0.6,50
0.66148373983739828,0.1,0.6,100
0.62489837398373971,0.1,0.6,150
0.59847560975609759,0.1,0.6,200
0.58475609756097569,0.1,0.6,250
0.54766260162601621,0.1,0.6,300
0.53953252032520327,0.1,0.6,350
0.50162601626016257,0.1,0.6,400
0.48770325203252041,0.1,0.6,450
0.4556910569105691,0.1,0.6,500
0.70518292682926831,0.1,0.7,50
0.66707317073170735,0.1,0.7,100
0.64115853658536592,0.1,0.7,150
0.57002032520325208,0.1,0.7,200
0.61626016260162597,0.1,0.7,250
0.5329268292682926,0.1,0.7,300
0.52174796747967478,0.1,0.7,350
0.53851626016260157,0.1,0.7,400
0.50040650406504061,0.1,0.7,450
0.472459349593496,0.1,0.7,500
0.70772357723577228,0.1,0.8,50
0.6752032520325203,0.1,0.8,100
0.60254065040650406,0.1,0.8,150
0.62764227642276427,0.1,0.8,200
0.60508130081300815,0.1,0.8,250
0.56087398373983743,0.1,0.8,300
0.54867886178861791,0.1,0.8,350
0.54766260162601621,0.1,0.8,400
0.49278455284552841,0.1,0.8,450
0.48414634146341456,0.1,0.8,500
0.69603658536585367,0.1,0.9,50
0.69674796747967482,0.1,0.9,100
0.60965447154471542,0.1,0.9,150
0.64725609756097569,0.1,0.9,200
0.58526422764227648,0.1,0.9,250
0.59034552845528454,0.1,0.9,300
0.57408536585365844,0.1,0.9,350
0.50142276422764231,0.1,0.9,400
0.50548780487804879,0.1,0.9,450
0.47957317073170735,0.1,0.9,500
0.66453252032520327,0.1,1.0,50
0.70060975609756104,0.1,1.0,100
0.65254065040650411,0.1,1.0,150
0.6490853658536585,0.1,1.0,200
0.55548780487804883,0.1,1.0,250
0.5811991869918699,0.1,1.0,300
0.54563008130081314,0.1,1.0,350
0.53241869918699192,0.1,1.0,400
0.50193089430894311,0.1,1.0,450
0.49735772357723573,0.1,1.0,500
0.69756097560975616,0.1,auto,50
0.58241869918699196,0.1,auto,100
0.54989837398373986,0.1,auto,150
0.46788617886178874,0.1,auto,200
0.41707317073170735,0.1,auto,250
0.41097560975609759,0.1,auto,300
0.39674796747967478,0.1,auto,350
0.37916666666666665,0.1,auto,400
0.36544715447154469,0.1,auto,450
0.35762195121951218,0.1,auto,500
0.72042682926829271,0.1,,50
0.61239837398373986,0.1,,100
0.52195121951219514,0.1,,150
0.45670731707317075,0.1,,200
0.44014227642276427,0.1,,250
0.40670731707317076,0.1,,300
0.38607723577235775,0.1,,350
0.36951219512195116,0.1,,400
0.35711382113821138,0.1,,450
0.35376016260162602,0.1,,500
0.65152439024390241,0.2,0.1,50
0.56036585365853664,0.2,0.1,100
0.45823170731707319,0.2,0.1,150
0.3936991869918699,0.2,0.1,200
0.40284552845528454,0.2,0.1,250
0.39674796747967478,0.2,0.1,300
0.36646341463414633,0.2,0.1,350
0.35203252032520327,0.2,0.1,400
0.35863821138211383,0.2,0.1,450
0.34898373983739839,0.2,0.1,500
0.63333333333333341,0.2,0.2,50
0.57713414634146343,0.2,0.2,100
0.49888211382113817,0.2,0.2,150
0.43658536585365859,0.2,0.2,200
0.41504065040650406,0.2,0.2,250
0.38678861788617891,0.2,0.2,300
