metadata,unique_words,total_words
890fe709adbc29e5559ca0208db93d1860bb40df,50,129
80dc672a9a85b8a78a97d82fc410561164a98cb5,130,903
6d02e573d4ead1d7c730715a7dbe52b79f3fc0bc,76,169
8c8767337414104a9e959e188af7a40d374d3fc3,33,61
952a8a848212f422ff800a074ce3c79bfae9530e,119,601
76d08757cbd00091c65317cd161fcbc3c839a73f,97,858
efef848e813519ca23a7bc7a982d82668998e02b,99,227
bbf2cb0686909803332f07a33a49c79e29f98a72,699,10710
ace3f80bd1dbc50351227f2197bd87aa45533cb0,277,3393
5caba492b1bdc512c560330d78a45fc7256e3757,134,1130
48838be5cc0a4ab0f27ac1cb8a52903824d924ac,129,963
749137efb43a19ee10e2e1604a3ec7a949239459,137,730
ea2f90a3749f2b2ea6112222b3087ca67c317713,389,7127
0c48a3530efe6386be74f0d14e0fb1cf09b53fc4,72,229
f3692b6d93ed4a51a0b137a0ac68394e44424e27,1558,88041
5618fcd2dede44eb3e4c7829cabc2f40be109e50,197,1373
c1582744ccbc4b822ab8a7932ea05bfd6541949d,108,510
24d4c7cb30ad7c94659c1f944b7636e6eabb38cd,109,356
f80e6be50ac7c4663e8b8307f93e15cac7fd3afe,625,9189
08c0b3b9a628c75415861ead2ee0031b2abc0e46,0,0
5009256faed76c5da228df36b16dde11877b37d1,165,1339
3f9218b95a539f0e527e2c9336d5a7261f6e2988,130,665
827dda52cb38316db1f9375bb09b0945fa36f14a,250,2091
de42e82e7039f9b49bb629a5df9498a7e588d33d,29,63
9cc963ec14dd7aeee4cb9b33a94dc59b696cc993,332,3816
22c1ad9ac1574b7cc81ba14ef299462c4b78395a,25,45
79315edf407f3e356aedb1ba9d2cfd2ae6b844d5,92,303
cdaf24783accbad55c89ee6472d3930d1a781fa2,122,442
768aa6b3f9d6d6ea9380520077b2571100079dd7,261,7462
1d3ca6c1704e40ca7923327ac4f8afaf57a6d366,357,2450
12e033bf21431a73953031685d25978cb4c0c53c,140,967
d3be15617e35c7f3107e66017fec34d7cce5f5c0,319,2549
26c01d458633b65760ba57f3feddc64be9113470,114,716
2cad2a28c772a8c72038ce672dc822803022a966,2105,132095
230b2bc7f488a6fa85d04a009928f36014dfb515,1488,47637
9a1008408bf2076a43244df7821cc8e9af13562d,8,10
90bff84b3c83540b6c56b1b0b30484da03e715a6,21,50
853d56688e27a178f4860fe73965029d954de73a,63,247
e944919aaad955a43e167913ad9bfa46f313097f,29,87
c22c5d5425be46fc518fc242bc2c52808010867c,33,74
7dd4c9b9538cadad63ce6b48843a1c82a5aa913c,103,305
44c6317bafc46c0cf716eee1097c0fc79720a609,87,324
bd0cba37bb9561d22d3b9adede95426489fe4351,92,292
a54f3f5bec780464a865806f1f52d135d429251e,38,126
1a13dc52d64e61973dd5b66bf820436647dd7133,56,187
98e8d7ec4872f17f682e39f0ebed630cef97ccf0,205,1197
95dd841fb39ca7d373fcacf6eb75afb7d03999eb,154,600
d89a20139764b645684d83532dc86340c08f3560,40,104
0a5f6db071fba4266d0cace406f69c70ed37a006,21,53
cff8852f1cb3fae02d788892ae3f6de6bfaacf64,128,1668
12cdd80dddc5e95a4b48a6afd1c8e4e9313a3405,50,99
deabead753ab6f766d39c9898b226c373e9535a4,132,452
f6b3f429b3dd2d69208ee32a05102b6a58c3a11c,83,262
5d39f8782f1e228d6126d749240000b52d6ed164,38,119
f22c685bd38caf6d6744f6785b53da48e3d2a79b,108,663
b05f4e35bb81b436fc4001f43846a117eb484a12,119,368
3db52aa61800d5b4f6ca6b792bbc74e598b982da,22,54
8e6ce2e31d2b62c4c589f1bc172f2103474ccca6,179,483
8eec835de57b4c29519efd3107e277eb948829c2,81,189
3a356b5e672dab1a3ad52c7b8d1b396bc3f5965b,13,52
c7d08482255ddf40589ac180810b0e2a13286461,145,939
2626c171bc46ec89d18d9beeec90bdf9cf5c4509,0,0
81315487c98bc72c8060bbb56af17dbf096e1976,273,1084
6c780e8e96e0a983ee3d310d26b4411e50295a56,98,260
b5cddc22b5692a9eb7a1dbc267385bf4b4359151,270,2689
e35c63c4a8bad04570c7b43ba3f133afb83f30fb,135,538
080311c9a4920f98fa6b8c082133db0b7b58b142,148,667
77d26c1c6fc36c0c8a44b822672afe517e989d25,119,674
8c5da35215a5eca178b170ed604cda2b1a7602b6,31,90
91ebac3fb045fef1a844b157c22147dbfb75c1c3,28,51
6c9c3d38b2ec1de1e0a7e595692787a8611a3260,336,5402
cb3decb7ceeb26943751a5c8da83f35c4bbe38f7,171,1251
946c1df51cb2e9020c60c8d224893a1c42891dcc,108,436
dc84c7f219b1089a652fcacd037344e458f1b837,57,157
2ef92575e1daf4917fc279456cbffe9fdb451986,233,2918
68009339b024ed555643be6178f866f3c63547e9,163,3489
314235f6ea086794de5ea7e3b9a33b7db905e760,106,519
d6f425d4c1997e8c6b5791c9fbf4898c703a9b7e,79,271
ef1030e400a72d984a04092956f1a8ab1ca7a376,47,61
6956ea60a8cdb901f1b0a11adaddec4dee0dd5e6,16,20
4f52e832a80ba47fbb728bee6ce91c0f95651fd4,37,147
377154a2e61c9098448a320bfe6c9463afec2ee9,84,169
171e0742cb59ef0db8c300fc13a32cc253f38d8a,68,227
01947bbaa63f2886d4e54d608861588b1e92b371,66,139
4964437c800b86364814e6290b40f713ddccc141,18,23
fdefe940824910c0f85f14465d03ff78547595a7,40,64
3e564092a41df77ac2fe5c943cd1c0e41a139753,754,23746
526ee2b14a9571c8cc4dba8cb6911a14961bc858,267,4232
96b72ffbe25a903b3bd84bc40aea2ea5acbb0fb8,23,45
432ca95872aee45670bb80f425811c3e15906350,65,298
9b2d4a09f02ae3d8234f278a243c334b3a3cd598,79,493
77504228f99445c0a1978487840507742dc1fc31,147,908
037d4e466c695f7fdc33f9da5dfc74eebffccfe3,418,6937
c6051e028b8ad71c29cfd336c0bcce8c1e9f8879,42,94
e5722dc37a92e78a12b4528a25767a6e8bcc2001,82,555
fe130cef5b8c4b5c0c1b62e1f1ab2ef0a0c811c1,69,251
7300c116e85fb643239bdb81a98d3bf2bf3ba145,46,382
fa5d05bbe396afec5ca246b07882fc3041f2ff36,22,86
d7c90c578f3328d88454c37cab312dd12ae460c8,48,143
d0f7b694cfff2243649526722c3b81618655d34d,35,155
abf6bb6d44e9d7c24fdb7737f7d03b20556a93c6,271,1715
2cade3f0393f6986bc3bc9cc984279f453d60dd9,208,1075
74ea1eba01cf09e8ee35a17cd1eb60b2713c8a19,127,1024
b21d1aa8250105da0a02e4473566d06645b99932,177,1394
aa3bc85c432e860989948267531aaa59a64d2d60,40,85
1b69d4afb68711132d9306f4e859fcb68dab0a39,153,587
8867584397b364c28aa797d9dac0eddf2fc5fda1,107,385
