metadata,unique_words,total_words
org.apache.pig.piggybank.test.storage.avro.TestAvroStorageUtils.testMergeSchema5(),18,75
org.apache.pig.piggybank.test.storage.avro.TestAvroStorageUtils.testMergeSchema6(),18,75
org.apache.pig.piggybank.test.storage.avro.TestAvroStorageUtils.testMergeSchema7(),16,53
org.apache.pig.piggybank.test.storage.avro.TestAvroStorageUtils.testMergeSchema8(),19,53
org.apache.pig.IteratingAccumulatorEvalFunc<T>.initialize(),14,19
org.apache.pig.IteratingAccumulatorEvalFunc<T>.initialize().$1.run(),9,11
org.apache.pig.IteratingAccumulatorEvalFunc<T>.isFinished(),1,2
org.apache.pig.IteratingAccumulatorEvalFunc<T>.accumulate(Tuple),23,39
org.apache.pig.IteratingAccumulatorEvalFunc<T>.getValue(),13,26
org.apache.pig.IteratingAccumulatorEvalFunc<T>.cleanup(),9,9
org.apache.pig.IteratingAccumulatorEvalFunc<T>.exec(Iterator<Tuple>),5,5
org.apache.pig.IteratingAccumulatorEvalFunc<T>.DelayedQueueIterator.hasNext(),10,14
org.apache.pig.IteratingAccumulatorEvalFunc<T>.DelayedQueueIterator.next(),5,6
org.apache.pig.IteratingAccumulatorEvalFunc<T>.DelayedQueueIterator.remove(),1,1
org.apache.pig.JVMReuseImpl.cleanupStaticData(),25,49
org.apache.pig.piggybank.test.storage.TestMyRegExLoader.testLoadMyRegExFromPigServer(),33,80
org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.AccumuloStorage(),17,25
org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.AccumuloStorage(String),32,45
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.AccumuloStorage(String,String)",8,13
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.getTuple(Key,Value)",60,421
org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.configureInputFormat(Job),9,15
org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.getMutations(Tuple),54,213
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorage.addColumn(Mutation,String,String,Value)",13,42
org.apache.pig.StoreCaster.toBytes(DataBag),4,5
org.apache.pig.StoreCaster.toBytes(String),3,3
org.apache.pig.StoreCaster.toBytes(Double),2,2
org.apache.pig.StoreCaster.toBytes(Float),2,2
org.apache.pig.StoreCaster.toBytes(Integer),3,3
org.apache.pig.StoreCaster.toBytes(Boolean),2,2
org.apache.pig.StoreCaster.toBytes(Long),2,2
org.apache.pig.StoreCaster.toBytes(DateTime),4,4
"org.apache.pig.StoreCaster.toBytes(Map<String,Object>)",5,5
org.apache.pig.StoreCaster.toBytes(Tuple),3,3
org.apache.pig.StoreCaster.toBytes(DataByteArray),4,4
org.apache.pig.StoreCaster.toBytes(BigInteger),3,3
org.apache.pig.StoreCaster.toBytes(BigDecimal),3,3
org.apache.pig.TerminatingAccumulator<T>.isFinished(),1,1
org.apache.pig.piggybank.storage.avro.AvroStorage.AvroStorage(),14,21
org.apache.pig.piggybank.storage.avro.AvroStorage.AvroStorage(String[]),24,57
"org.apache.pig.piggybank.storage.avro.AvroStorage.setLocation(String,Job)",59,175
org.apache.pig.piggybank.storage.avro.AvroStorage.setUDFContextSignature(String),5,14
"org.apache.pig.piggybank.storage.avro.AvroStorage.setInputAvroSchema(Set<Path>,Configuration)",22,64
"org.apache.pig.piggybank.storage.avro.AvroStorage.getAvroSchema(Set<Path>,Configuration)",19,54
"org.apache.pig.piggybank.storage.avro.AvroStorage.getAvroSchema(Path,FileSystem)",30,94
"org.apache.pig.piggybank.storage.avro.AvroStorage.getMergedSchema(Set<Path>,Configuration)",39,132
