score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.34882425992693494,True,True,True,True
0.35949626519971717,True,True,False,True
0.36780591445755972,True,False,True,True
0.38195998479215909,True,False,False,True
0.38447388277782074,True,True,True,False
0.33112059888685047,True,True,False,False
0.36309891424282414,True,False,True,False
0.4206799129677421,True,False,False,False
0.34593062600239205,False,True,True,True
0.30762304933137724,False,True,False,True
0.37436394852568489,False,False,True,True
0.32224817238348391,False,False,False,True
0.30708052053450607,False,True,True,False
0.30151920007058286,False,True,False,False
0.34198920111203074,False,False,True,False
0.0,False,False,False,False
