score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.18011988517019473,True,True,True,True
0.17593889302480634,True,True,False,True
0.18235141340791491,True,False,True,True
0.14368706094712286,True,False,False,True
0.18738797523627246,True,True,True,False
0.20319758682761777,True,True,False,False
0.14164875259403459,True,False,True,False
0.14207971485448265,True,False,False,False
0.1770666523375502,False,True,True,True
0.13159168000499272,False,True,False,True
0.16937989863686453,False,False,True,True
0.15330603525178838,False,False,False,True
0.2932555575937929,False,True,True,False
0.30315593440593441,False,True,False,False
0.27031444995168241,False,False,True,False
0.0,False,False,False,False
