sha,change_type,name,additions,removals,context,message
c42851d45adbfe4af456775ca95479c978825af2,M,tika-core/src/test/resources/org/apache/tika/mime/test-long-comment.xml,20,20,1,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-core/src/test/resources/org/apache/tika/mime/test-utf8.xml,1,1,1,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-core/src/test/resources/org/apache/tika/mime/test.html,9,9,1,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-core/src/test/resources/org/apache/tika/mime/testlargerbuffer.html,827,827,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/jpeg/JpegParser.java,62,62,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/AbstractOOXMLExtractor.java,78,78,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/MetadataExtractor.java,147,147,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/OOXMLExtractor.java,53,53,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/OOXMLExtractorFactory.java,99,99,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/OOXMLParser.java,81,81,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/POIXMLTextExtractorDecorator.java,34,34,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/XSLFPowerPointExtractorDecorator.java,96,96,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/XSSFExcelExtractorDecorator.java,162,162,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/XWPFWordExtractorDecorator.java,166,166,0,4
c42851d45adbfe4af456775ca95479c978825af2,M,tika-parsers/src/test/java/org/apache/tika/parser/jpeg/JpegParserTest.java,96,96,0,4
77950d7c99d97c4e4ce790be6c5f2349643b0ba6,M,tika-core/src/main/java/org/apache/tika/metadata/Metadata.java,1,1,6,4
fbd3e7f1e3ba25e7d69b09a4bc4bc3e54a269ae3,A,tika-parsers/src/test/java/org/apache/tika/config/TikaParserConfigTest.java,137,0,0,4
fbd3e7f1e3ba25e7d69b09a4bc4bc3e54a269ae3,A,tika-parsers/src/test/resources/org/apache/tika/config/TIKA-1558-blacklist.xml,29,0,0,4
b3a4ac0729c9898d0c02aa344e42ac568ee98995,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,13,9,9,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,M,CHANGES.txt,3,0,6,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,M,tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java,4,2,6,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,M,tika-app/src/test/java/org/apache/tika/cli/TikaCLITest.java,22,11,70,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,A,tika-app/src/test/resources/test-data/testMultipleSheets.numbers,0,0,0,4
e818c00c527eb751999f3c5bb3e3d268b5aa5652,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,16,5,33,6
70ca6cee9ec87b9fa596ecba2ce0035c204a34a2,M,CHANGES.txt,3,1,6,6
70ca6cee9ec87b9fa596ecba2ce0035c204a34a2,M,src/main/java/org/apache/tika/parser/zip/ZipParser.java,40,13,20,6
aceff84889da091010bcd893809427428a8b68a6,M,CHANGES.txt,2,0,3,9
