sha,issues,change_type,name,additions,removals,context,message
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,1128,M,CHANGES.txt,3,0,6,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,1128,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,3,0,6,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,1128,M,tika-parsers/src/test/java/org/apache/tika/parser/microsoft/WordParserTest.java,4,0,4,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,1128,A,tika-parsers/src/test/resources/test-documents/testWORD_tabular_symbol.doc,0,0,0,4
97927cfa03d0f84bbeb52cfbb0817c169e800200,1490,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ExcelExtractor.java,1,0,6,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,347,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlHandler.java,8,8,37,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,347,A,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlMapper.java,54,0,0,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,347,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlParser.java,22,1,14,4
8ed464c3422d8418b5e807bdeffaa01083aa51e7,1222,M,tika-parsers/src/test/java/org/apache/tika/parser/mail/RFC822ParserTest.java,31,4,30,4
d966d3531faee373ed15f9768052fdf19c7150b9,192,M,src/main/resources/mime/tika-mimetypes.xml,116,0,6,6
d966d3531faee373ed15f9768052fdf19c7150b9,192,M,src/test/java/org/apache/tika/mime/TestMimeTypes.java,36,0,6,6
327e2acda87e192ad6656f1b43d90df14479f429,357,M,CHANGES.txt,1,1,6,4
327e2acda87e192ad6656f1b43d90df14479f429,357,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlParser.java,3,2,9,4
327e2acda87e192ad6656f1b43d90df14479f429,357,M,tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java,15,0,4,4
327e2acda87e192ad6656f1b43d90df14479f429,357,A,tika-parsers/src/test/resources/test-documents/big-preamble.html,827,0,0,4
ab914912ffa7394185d29d71ee15b38157d58a48,865,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypes.java,1,1,6,4
ab914912ffa7394185d29d71ee15b38157d58a48,865,M,tika-core/src/main/java/org/apache/tika/parser/external/ExternalParsersFactory.java,9,0,16,4
159fcf1ba8ed2ff2643b836e3f21f84b4c8a54aa,285,M,tika-core/src/main/resources/org/apache/tika/mime/tika-mimetypes.xml,28,33,172,6
edd4ba51e6341236a78f4d16798a91fb67227f4b,746,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypesFactory.java,12,0,12,6
2a405d3e28775ac789e2ab3a873cd302d332f722,155,M,src/main/java/org/apache/tika/parser/asm/XHTMLClassVisitor.java,2,0,12,6
815c45e1b9e40074dfb5520599296f6595102684,1352,M,tika-parsers/pom.xml,1,1,6,4
