metadata,unique_words,total_words
1,56,75
7,32,40
10,29,36
11,18,29
13,32,43
16,18,21
20,29,35
21,50,81
24,26,29
30,42,77
31,32,42
37,10,18
39,30,39
43,28,36
45,29,59
48,49,68
52,28,37
59,15,32
60,12,23
66,66,88
67,37,62
77,24,55
78,21,28
85,68,85
86,97,138
87,40,70
89,28,42
91,21,38
94,19,31
98,41,60
102,15,25
103,21,34
107,35,72
108,22,35
110,30,38
111,14,22
116,16,20
117,20,31
137,66,93
138,24,35
139,18,42
140,26,35
142,18,41
145,45,56
147,20,28
151,26,39
153,22,28
163,36,53
164,45,172
165,23,30
166,11,17
167,37,47
173,34,47
176,16,20
177,12,17
178,16,23
179,22,28
212,80,576
213,39,59
214,11,12
217,27,46
221,16,16
225,21,27
226,18,25
227,22,30
231,23,27
233,23,29
235,10,14
237,34,46
238,32,38
243,45,77
244,18,26
245,30,45
247,43,70
248,12,18
250,27,38
251,32,39
254,51,155
258,35,52
261,102,377
274,10,22
277,14,17
309,29,39
311,18,30
313,7,12
317,17,27
321,25,46
327,20,27
328,23,39
330,15,25
331,19,25
334,12,16
