metadata,unique_words,total_words
2318,128,435
2269,90,556
2260,49,81
2261,39,59
2267,68,232
2264,24,43
2443,45,157
2440,68,322
2444,28,40
1993,60,101
2305,42,51
2304,10,12
2275,18,22
2271,7,10
2191,128,449
2196,53,68
2197,30,52
2199,53,91
2204,76,284
2208,8,14
2209,11,19
2421,21,51
2423,65,124
2425,42,81
1819,33,63
1979,35,57
2187,34,68
2189,39,56
2432,23,28
2437,8,8
2435,34,66
2228,37,102
2229,92,287
2227,59,92
2220,23,31
2221,83,508
2154,79,229
2156,25,32
2405,10,22
2151,37,46
2400,8,10
2153,71,399
2158,58,150
2159,11,13
2409,9,9
2410,29,43
2414,29,43
2238,66,379
2231,25,53
2230,16,23
2235,32,52
2234,47,68
2236,41,54
2095,76,159
2094,62,150
2146,42,59
2145,17,25
2143,18,25
2142,54,215
2140,23,34
2418,59,388
2149,76,150
2136,68,213
2137,11,13
2390,41,78
2391,30,46
2172,58,107
2170,23,49
2171,26,38
2174,27,44
2178,44,57
2388,5,5
2169,32,100
2168,25,28
2164,26,34
2167,30,37
2161,9,10
2163,32,75
2162,33,62
1901,69,231
2288,81,115
2289,28,103
2282,16,22
2283,20,24
2284,96,345
2378,89,595
2374,11,18
2377,33,76
2118,45,77
2110,60,79
2298,162,485
2293,11,12
2292,33,43
2295,46,83
2369,14,16
2368,20,42
2366,26,41
2102,86,242
1532,52,98
2353,39,53
2357,34,40
2354,9,13
2355,18,26
2134,23,36
2132,46,67
2133,31,45
2131,52,90
1794,20,38
696,26,39
2347,9,11
2346,25,33
2343,33,97
2342,86,234
2348,11,16
2120,56,88
2123,30,34
2018,46,99
2330,51,549
2332,41,69
2335,10,14
2336,12,20
2244,52,81
2245,72,550
2247,34,81
2240,78,152
2067,91,329
2152,19,37
2321,23,36
2320,10,10
2326,21,28
2325,41,67
2324,24,36
2328,106,434
2257,51,134
2255,36,123
2253,57,77
2072,90,392
