score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.31512529426794766,True,True,True,True
0.29753027864805071,True,True,False,True
0.27855138770186105,True,False,True,True
0.29393403101951721,True,False,False,True
0.35722776598272843,True,True,True,False
0.30027634410028581,True,True,False,False
0.31132049365504938,True,False,True,False
0.29449689219271397,True,False,False,False
0.29049993208642705,False,True,True,True
0.22552357726783112,False,True,False,True
0.21587139872773184,False,False,True,True
0.27605803144179969,False,False,False,True
0.27783735434940793,False,True,True,False
0.27681636277389582,False,True,False,False
0.31121073228401885,False,False,True,False
0.0,False,False,False,False
