score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.36621065054405544,True,True,True,True
0.31378592230776364,True,True,False,True
0.3491809791992273,True,False,True,True
0.37460036524758228,True,False,False,True
0.35580310808412996,True,True,True,False
0.36376634612465436,True,True,False,False
0.2839754692952926,True,False,True,False
0.34558368436105663,True,False,False,False
0.37526001263656916,False,True,True,True
0.30258877225160469,False,True,False,True
0.32513157541840265,False,False,True,True
0.31633712807923564,False,False,False,True
0.3075154526927909,False,True,True,False
0.26584383345269619,False,True,False,False
0.31285895293030236,False,False,True,False
0.0,False,False,False,False
