sha,issues,change_type,name,additions,removals,context,message
6604f1d9f636bf331ac70077be557e75d3b035d9,1655,M,.gitignore,5,5,6,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,h2o/pom.xml,6,0,6,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,integration/pom.xml,0,30,16,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,math-scala/src/test/scala/org/apache/mahout/math/decompositions/DistributedDecompositionsSuiteBase.scala,1,1,6,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,mrlegacy/pom.xml,18,39,22,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,pom.xml,109,185,57,2
f1095d8c30d33e0e86e691f797d13c6f7bc11c4c,1616,M,spark/pom.xml,2,1,12,2
6fbf3663b55def1f75fa3bed4690bf9562146921,1581,M,math/src/test/java/org/apache/mahout/math/TestSparseRowMatrix.java,4,5,26,2
101a9a60f200aef4401fc748adbfef3af8bdd080,1346,M,math-scala/src/main/scala/org/apache/mahout/math/scalabindings/SSVD.scala,1,1,6,4
101a9a60f200aef4401fc748adbfef3af8bdd080,1346,M,spark/src/main/scala/org/apache/mahout/sparkbindings/decompositions/DSPCA.scala,1,1,6,4
16aeaba993556767c95a4cd59540f1d3b6992772,1661,M,CHANGELOG,3,1,7,2
16aeaba993556767c95a4cd59540f1d3b6992772,1661,M,math/src/main/java/org/apache/mahout/math/decomposer/lanczos/LanczosSolver.java,1,0,6,2
16aeaba993556767c95a4cd59540f1d3b6992772,1661,M,math/src/main/java/org/apache/mahout/math/decomposer/lanczos/LanczosState.java,1,0,6,2
16aeaba993556767c95a4cd59540f1d3b6992772,1661,M,mr/src/main/java/org/apache/mahout/math/hadoop/decomposer/DistributedLanczosSolver.java,1,0,6,2
16aeaba993556767c95a4cd59540f1d3b6992772,1661,M,mr/src/main/java/org/apache/mahout/math/hadoop/decomposer/EigenVerificationJob.java,1,0,6,2
5624a96c6da94ad1c95077dbbdab71409d85770c,1619,M,CHANGELOG,2,0,6,2
5624a96c6da94ad1c95077dbbdab71409d85770c,1619,M,mrlegacy/src/main/java/org/apache/mahout/vectorizer/HighDFWordsPruner.java,3,5,24,2
5624a96c6da94ad1c95077dbbdab71409d85770c,1619,M,mrlegacy/src/main/java/org/apache/mahout/vectorizer/collocations/llr/CollocMapper.java,2,6,18,2
