score,changeset_include_additions,changeset_include_context,changeset_include_message,changeset_include_removals
0.31055999743914275,True,True,True,True
0.30239762026372297,True,True,False,True
0.34245567807550842,True,False,True,True
0.27732512643615675,True,False,False,True
0.27662177521307646,True,True,True,False
0.26329488377923022,True,True,False,False
0.27345746541319971,True,False,True,False
0.32106356610114306,True,False,False,False
0.28783126697519246,False,True,True,True
0.33434684271275494,False,True,False,True
0.24405194865823299,False,False,True,True
0.28841928875672912,False,False,False,True
0.2957591012086167,False,True,True,False
0.25042422832050237,False,True,False,False
0.17877575233009535,False,False,True,False
0.0,False,False,False,False
