sha,change_type,name,additions,removals,context,message
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,CHANGES.txt,2,0,6,4
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,bin/zkServer.sh,14,3,14,4
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,build.xml,5,1,6,4
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml,0,9,6,4
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,0,4,6,4
0bbec0318888d51175a6cb96f3f84bd4d43152b6,M,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,0,2,6,4
47e07d9b953a08de0c7aa634920db1492634b0bb,M,CHANGES.txt,2,0,6,4
47e07d9b953a08de0c7aa634920db1492634b0bb,M,src/java/main/org/apache/zookeeper/ClientWatchManager.java,3,2,5,4
47e07d9b953a08de0c7aa634920db1492634b0bb,M,src/java/main/org/apache/zookeeper/Op.java,0,1,6,4
10dde368d4cf4af026c16b25bafe2d01e3f303ee,M,CHANGES.txt,4,0,6,5
10dde368d4cf4af026c16b25bafe2d01e3f303ee,M,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,5,6,36,5
10dde368d4cf4af026c16b25bafe2d01e3f303ee,A,src/java/test/org/apache/zookeeper/server/NIOServerCnxnTest.java,71,0,0,5
8f8f55d4646ece259f058f9dce1fa166d562e52d,M,CHANGES.txt,3,0,6,4
8f8f55d4646ece259f058f9dce1fa166d562e52d,M,README.txt,10,1,7,4
8f8f55d4646ece259f058f9dce1fa166d562e52d,M,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,18,0,3,4
bc725786469011485308976f4e6b27c77225dcaf,M,CHANGES.txt,2,0,6,4
bc725786469011485308976f4e6b27c77225dcaf,M,src/c/Cli.vcproj,0,198,3,4
bc725786469011485308976f4e6b27c77225dcaf,M,src/c/zookeeper.sln,0,29,3,4
bc725786469011485308976f4e6b27c77225dcaf,M,src/c/zookeeper.vcproj,1,307,3,4
c1bf69f6f75feb3ccb8dce197a229861e142a27d,M,src/java/main/org/apache/zookeeper/ClientCnxn.java,13,6,31,5
c1bf69f6f75feb3ccb8dce197a229861e142a27d,M,src/java/main/org/apache/zookeeper/ZooKeeper.java,80,84,35,5
c1bf69f6f75feb3ccb8dce197a229861e142a27d,A,src/java/test/org/apache/zookeeper/test/DisconnectableZooKeeper.java,54,0,0,5
c1bf69f6f75feb3ccb8dce197a229861e142a27d,M,src/java/test/org/apache/zookeeper/test/SessionTest.java,7,7,27,5
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,CHANGES.txt,3,0,6,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,4,0,6,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/client/FourLetterWordMain.java,49,11,37,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/common/X509Util.java,1,0,6,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,17,0,10,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/NettyServerCnxn.java,27,0,17,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/NettyServerCnxnFactory.java,103,6,44,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,5,1,18,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/ServerCnxnFactory.java,5,2,12,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,2,0,8,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,A,src/java/main/org/apache/zookeeper/server/auth/X509AuthenticationProvider.java,226,0,0,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,A,src/java/test/org/apache/zookeeper/server/MockServerCnxn.java,113,0,0,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/test/org/apache/zookeeper/test/ClientBase.java,22,16,69,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/test/org/apache/zookeeper/test/FourLetterWordsQuorumTest.java,4,1,13,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,M,src/java/test/org/apache/zookeeper/test/FourLetterWordsTest.java,5,2,17,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,A,src/java/test/org/apache/zookeeper/test/SSLAuthTest.java,99,0,0,4
acf732eafbe0e64a0259418cc82bb3448c2f626c,A,src/java/test/org/apache/zookeeper/test/X509AuthTest.java,290,0,0,4
b554e00c82d09d049c34977598e942060bad1fe2,M,CHANGES.txt,5,2,6,4
b554e00c82d09d049c34977598e942060bad1fe2,M,src/java/test/org/apache/zookeeper/test/ClientPortBindTest.java,0,2,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,CHANGES.txt,2,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml,39,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/main/org/apache/zookeeper/server/DataTree.java,9,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/main/org/apache/zookeeper/server/DataTreeBean.java,1,10,13,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,84,2,36,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/main/org/apache/zookeeper/server/WatchManager.java,5,1,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/test/org/apache/zookeeper/test/ClientBase.java,4,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/test/org/apache/zookeeper/test/FourLetterWordsQuorumTest.java,2,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/test/org/apache/zookeeper/test/FourLetterWordsTest.java,1,0,6,4
7bbb2e4e77cbb6643bdbf334e098fa21024622d9,M,src/java/test/org/apache/zookeeper/test/WatcherTest.java,33,0,12,4
1242d93be1890a626af3655ae7ff98a0a57f5741,M,src/docs/src/documentation/content/xdocs/index.xml,0,12,6,4
