sha,issues,change_type,name
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,build.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,ivy.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/contrib/build-contrib.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/contrib/build.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/contrib/zkpython/build.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/contrib/zkpython/src/python/setup.py
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/recipes/build-recipes.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/recipes/build.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/recipes/lock/build.xml
02e2ef341dd145ba5d6ab434a5f31c9eb6393579,999,M,src/recipes/queue/build.xml
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,CHANGES.txt
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/include/proto.h
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/include/zookeeper.h
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/src/zk_hashtable.c
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/src/zk_hashtable.h
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/src/zookeeper.c
03218f40e396949fe007c276ba837ec78a3de2a1,1887,M,src/c/tests/TestClient.cc
036b4364258cf365b84c0e2421db49324fcd6907,1758,M,CHANGES.txt
036b4364258cf365b84c0e2421db49324fcd6907,1758,M,src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml
03b7f5c12b1acb346d760106531f5625ab6692eb,1142,M,CHANGES.txt
03b7f5c12b1acb346d760106531f5625ab6692eb,1142,M,src/java/main/org/apache/zookeeper/server/NettyServerCnxn.java
03b7f5c12b1acb346d760106531f5625ab6692eb,1142,M,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java
03b7f5c12b1acb346d760106531f5625ab6692eb,1142,M,src/java/main/org/apache/zookeeper/server/ServerCnxn.java
03b7f5c12b1acb346d760106531f5625ab6692eb,1142,M,src/java/test/org/apache/zookeeper/test/FourLetterWordsTest.java
03d2740d36b89627405026d6e818fe41ee4a9efa,795,M,CHANGES.txt
03d2740d36b89627405026d6e818fe41ee4a9efa,795,M,src/java/main/org/apache/zookeeper/ClientCnxn.java
03d2740d36b89627405026d6e818fe41ee4a9efa,795,M,src/java/test/org/apache/zookeeper/test/SessionTest.java
0412d47baa387f699c3518a5250818a73e01c3d8,495,M,CHANGES.txt
0412d47baa387f699c3518a5250818a73e01c3d8,495,M,src/c/src/zk_adaptor.h
0412d47baa387f699c3518a5250818a73e01c3d8,495,M,src/c/src/zk_hashtable.c
0412d47baa387f699c3518a5250818a73e01c3d8,495,M,src/c/src/zookeeper.c
042cf3020b2f9f3bc91e879a16da130c3ca93428,482,M,CHANGES.txt
042cf3020b2f9f3bc91e879a16da130c3ca93428,482,M,src/c/tests/TestClient.cc
042cf3020b2f9f3bc91e879a16da130c3ca93428,482,M,src/c/tests/TestClientRetry.cc
0439f14b4f30925f31e7458bc8e551c42c4794a6,1033,M,CHANGES.txt
0439f14b4f30925f31e7458bc8e551c42c4794a6,1033,M,src/c/configure.ac
04679beb7ad1de726231408a52824a0b6ad8fd24,1354,M,CHANGES.txt
04679beb7ad1de726231408a52824a0b6ad8fd24,1354,M,src/java/test/org/apache/zookeeper/test/AuthTest.java
047b07a298d84e9755c6e06c035787ce397f4958,1411,M,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/bookkeeperConfig.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/bookkeeperOverview.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/bookkeeperProgrammer.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/bookkeeperStarted.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/bookkeeperStream.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/index.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/javaExample.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/linkmap.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/recipes.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/releasenotes.html
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/releasenotes.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperAdmin.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperHierarchicalQuorums.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperInternals.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperJMX.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperObservers.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperOver.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperProgrammers.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperQuotas.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperStarted.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,docs/zookeeperTutorial.pdf
04847e020f66e90357650339b3c9a68fd4190b0f,1496,M,src/docs/src/documentation/content/xdocs/releasenotes.xml
0490eb86c2b5e7349f4e52d600ad91bd680af116,1514,A,src/java/test/org/apache/zookeeper/test/FLEBackwardElectionRoundTest.java
0490eb86c2b5e7349f4e52d600ad91bd680af116,1514,A,src/java/test/org/apache/zookeeper/test/FLETestUtils.java
0490eb86c2b5e7349f4e52d600ad91bd680af116,1514,M,CHANGES.txt
0490eb86c2b5e7349f4e52d600ad91bd680af116,1514,M,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java
0490eb86c2b5e7349f4e52d600ad91bd680af116,1514,M,src/java/test/org/apache/zookeeper/test/FLELostMessageTest.java
04aa4620e276e0bee8647ffce457f625d26a8113,1939,M,CHANGES.txt
04aa4620e276e0bee8647ffce457f625d26a8113,1939,M,src/java/test/org/apache/zookeeper/test/QuorumBase.java
04abf42f233b9aa36c1c55555624543bfee34519,908,M,CHANGES.txt
04abf42f233b9aa36c1c55555624543bfee34519,908,M,src/java/main/org/apache/zookeeper/ClientCnxn.java
04abf42f233b9aa36c1c55555624543bfee34519,908,M,src/java/main/org/apache/zookeeper/ClientCnxnSocket.java
04abf42f233b9aa36c1c55555624543bfee34519,908,M,src/java/main/org/apache/zookeeper/ClientCnxnSocketNIO.java
04c618591a84a3af121af79e82657068d768b8a7,1849,M,CHANGES.txt
04c618591a84a3af121af79e82657068d768b8a7,1849,M,src/java/test/org/apache/zookeeper/JUnit4ZKTestRunner.java
04c618591a84a3af121af79e82657068d768b8a7,1849,M,src/java/test/org/apache/zookeeper/server/CRCTest.java
04c618591a84a3af121af79e82657068d768b8a7,1849,M,src/java/test/org/apache/zookeeper/test/ACLCountTest.java
04c618591a84a3af121af79e82657068d768b8a7,1849,M,src/java/test/org/apache/zookeeper/test/ACLTest.java
04c618591a84a3af121af79e82657068d768b8a7,1849,M,src/java/test/org/apache/zookeeper/test/ClientPortBindTest.java
